Company Name,Company Ratings,Services,Advantage_DisAdv,Details
Apollo Hospitals,4.1,Healthcare | 10k-50k Employees | Public | 40 years old | Chennai +171 more,"['Job Security, Skill Development / Learning, Company Culture']","['3.9k Reviews', '15.3k Salaries', '177 Interviews', '61 Jobs', '498 Benefits', '-- Photos']"
Capgemini Technology Services India Limited,4.0,IT Services & Consulting | 1 Lakh+ Employees | Bengaluru/Bangalore +33 more,"['Job Security, Work Life Balance, Company Culture']","['3.9k Reviews', '41.6k Salaries', '326 Interviews', '2 Jobs', '399 Benefits', '-- Photos']"
Tata Projects,4.2,Engineering & Construction | 5k-10k Employees | Public | 44 years old | Mumbai +222 more,"['Job Security, Company Culture, Skill Development / Learning']","['3.9k Reviews', '18.6k Salaries', '242 Interviews', '34 Jobs', '531 Benefits', '13 Photos']"
Vivo,4.0,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 14 years old | Gurgaon/Gurugram +353 more,"['Skill Development / Learning, Company Culture']","['3.9k Reviews', '14.2k Salaries', '138 Interviews', '2 Jobs', '635 Benefits', '2 Photos']"
JLL,4.2,Real Estate | 5k-10k Employees | Forbes Global 2000 | 26 years old | Mumbai +67 more,"['Skill Development / Learning, Company Culture, Job Security']","['3.8k Reviews', '18.9k Salaries', '186 Interviews', '17 Jobs', '539 Benefits', '4 Photos']"
First Source,3.8,BPO | 10k-50k Employees | Public | 22 years old | Mumbai +49 more,[],"['3.8k Reviews', '19.2k Salaries', '161 Interviews', '76 Jobs', '565 Benefits', '13 Photos']"
JustDial,3.6,Internet | 10k-50k Employees | Public | 27 years old | Mumbai +158 more,[],"['3.7k Reviews', '14.6k Salaries', '207 Interviews', '129 Jobs', '365 Benefits', '7 Photos']"
Hero MotoCorp,4.1,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +294 more,"['Work Life Balance, Job Security, Company Culture']","['3.7k Reviews', '14k Salaries', '231 Interviews', '7 Jobs', '573 Benefits', '5 Photos']"
L&T Construction,4.0,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +309 more,"['Job Security, Skill Development / Learning, Salary & Benefits']","['3.7k Reviews', '13.1k Salaries', '393 Interviews', '-- Jobs', '764 Benefits', '7 Photos']"
Hewlett-Packard Enterprise,4.3,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +91 more,"['Company Culture, Work Life Balance, Job Security']","['3.7k Reviews', '32.1k Salaries', '165 Interviews', '53 Jobs', '609 Benefits', '8 Photos']"
Omega Healthcare,3.7,IT Services & Consulting | 5k-10k Employees | 19 years old | Florida +32 more,[],"['3.6k Reviews', '19.1k Salaries', '189 Interviews', '133 Jobs', '384 Benefits', '4 Photos']"
Mahindra & Mahindra Financial Services,4.3,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +610 more,"['Job Security, Company Culture, Skill Development / Learning']","['3.6k Reviews', '10.2k Salaries', '89 Interviews', '54 Jobs', '499 Benefits', '2 Photos']"
Megha Engineering & Infrastructures,4.1,Engineering & Construction | 5k-10k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +263 more,"['Job Security, Skill Development / Learning, Work Life Balance']","['3.6k Reviews', '13.7k Salaries', '260 Interviews', '26 Jobs', '536 Benefits', '3 Photos']"
Cyient,3.7,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +29 more,['Job Security'],"['3.5k Reviews', '24.6k Salaries', '160 Interviews', '269 Jobs', '460 Benefits', '3 Photos']"
Bajaj Allianz Life Insurance,4.1,Insurance | 10k-50k Employees | 22 years old | Pune +468 more,"['Salary & Benefits, Work Life Balance, Job Security']","['3.5k Reviews', '14.1k Salaries', '180 Interviews', '32 Jobs', '466 Benefits', '3 Photos']"
D Mart,3.9,Retail | 10k-50k Employees | Fortune India 500 | 23 years old | Mumbai +197 more,"['Job Security, Company Culture']","['3.4k Reviews', '13.4k Salaries', '219 Interviews', '73 Jobs', '461 Benefits', '-- Photos']"
Hyundai Motor,4.3,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +251 more,"['Job Security, Salary & Benefits, Skill Development / Learning']","['3.4k Reviews', '13.1k Salaries', '166 Interviews', '22 Jobs', '540 Benefits', '8 Photos']"
TVS Motor,4.0,Automobile | 5k-10k Employees | Public | 44 years old | Chennai +257 more,"['Skill Development / Learning, Salary & Benefits, Company Culture']","['3.4k Reviews', '13.8k Salaries', '185 Interviews', '39 Jobs', '524 Benefits', '4 Photos']"
BigBasket,4.0,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +104 more,"['Job Security, Skill Development / Learning, Company Culture']","['3.4k Reviews', '14.5k Salaries', '229 Interviews', '24 Jobs', '415 Benefits', '23 Photos']"
